NBDL-HK3SJ4EDKNXDC4.v1.mt	Dentex carpenteri 
NBDL-HK3T1ZXBNNC1SG.v1.mt	Polyprion oxygeneios 
NBDL-HK3SJ4E1KNXT9M.v1.mt	Acanthopagrus australis 
NBDL-HK3SZKVCNDSBVF.v1.mt	Zanclistius elevatus 
NBDL-HK3QV5P3P4KD5D.v1.mt	Dactylophora nigricans 
NBDL-HK3QQM11Q1N7KH.v1.mt	Lethrinus atkinsoni 
NBDL-HK3SJ4E7QNX4YC.v1.mt	Dentex spariformis 
NBDL-HR5SFNZVKTHP7R.v1.mt	Chaetodon auriga 
NBDL-HK4A8AEPNAJE40.v1.mt	Pomacanthus imperator 
NBDL-HR5S2B5SH2HD0W.v1.mt	Chromis xanthura 
NBDL-HR5S2B2SG3542V.v1.mt	Apogonichthyoides melas 
NBDL-HK3SMQDTHSA3ZP.v1.mt	Rachycentron canadum 
NBDL-HR5S2B3XG34R0B.v1.mt	Parupeneus barberinus 
NBDL-HR5SFNXVJTRCX5.v1.mt	Chrysiptera rollandi 
NBDL-HR5S2B57N2H4J4.v1.mt	Salarias alboguttatus 
NBDL-HR5S2B09H36TQY.v1.mt	Parupeneus crassilabris 
NBDL-HK3T892CGMBYDJ.v1.mt	Hephaestus jenkinsi 
NBDL-HK3T5NSAPR4ZN6.v1.mt	Rastrelliger kanagurta 
NBDL-HR5S2B22P32CQQ.v1.mt	Chrysiptera talboti 
NBDL-HK3T5NT8HR0Z3V.v1.mt	Parapriacanthus ransonneti 
NBDL-HR5S2B34J35XYZ.v1.mt	Salarias fasciatus 
NBDL-HR5S2B4YQ2GXS8.v1.mt	Heteroclinus nasutus 
NBDL-HK3T5NS2PR4B66.v1.mt	Auxis thazard 
NBDL-HK3SMQD8NSD65E.v1.mt	Caesio cuning 
NBDL-HK3SMQF0MSJNSB.v1.mt	Priacanthus macracanthus 
NBDL-HK3SMQEEGSMKX3.v1.mt	Sillago ciliata 
NBDL-HK3QQM16H1N515.v1.mt	Lethrinus microdon 
NBDL-HR5SFNYRNTYD0W.v1.mt	Acanthurus triostegus 
NBDL-HR5SFNYMNTZ07C.v1.mt	Dischistodus perspicillatus 
NBDL-HK3SJ4DKPNVFNS.v1.mt	Banjos banjos 
NBDL-HK3QQM0VK1K9FS.v1.mt	Gymnocranius audleyi 
NBDL-HK3SMQFSPSJ0SZ.v1.mt	Pseudochromis fuscus 
NBDL-HK4A8AEBKAGWKC.v1.mt	Chaetodon aureofasciatus 
NBDL-HR5S2AYXG4HHND.v1.mt	Nectamia similis 
NBDL-HHG28F59HB4VP2.v1.mt	Pentaprion longimanus 
NBDL-HK3SMQEVJSNG07.v1.mt	Cookeolus japonicus 
NBDL-HK3SMQE9PSMMFZ.v1.mt	Sillago flindersi 
NBDL-HR5S2B0TQ2S2AA.v1.mt	Cheilodipterus intermedius 
NBDL-HK3T1ZXFNNCT60.v1.mt	Doederleinia berycoides 
NBDL-HK3SPRQPQH3SAK.v1.mt	Plectorhinchus flavomaculatus 
NBDL-HK4AMQYAMCQK0F.v1.mt	Naso reticulatus 
NBDL-HK3QQM1GN1J2TD.v1.mt	Gymnocranius elongatus 
NBDL-HK3SZKV6HDS1AQ.v1.mt	Pseudopentaceros richardsoni 
NBDL-HK3QV5P5J4KAE5.v1.mt	Nemadactylus douglasii 
NBDL-HR5S2B59H2HMAW.v1.mt	Petroscirtes fallax 
NBDL-HK4A8ADGMAYZAX.v1.mt	Coradion chrysozonus 
